;";show_date;Artist;Title;Album;Year"
3017;"3017;0_UNK_0;Blasters;American Music;Testament: The Complete Slash Recordings;2002"
3018;"3018;0_UNK_0;Blasters;So Long Baby Goodbye;Testament: The Complete Slash Recordings;2002"
3019;"3019;0_UNK_0;Blasters;Hollywood Bed;Testament: The Complete Slash Recordings;2002"
3020;"3020;0_UNK_0;Blasters;Never No More Blues;Testament: The Complete Slash Recordings;2002"
3021;"3021;0_UNK_0;Blasters;This Is It;Testament: The Complete Slash Recordings;2002"
3022;"3022;0_UNK_0;Blasters;Highway 61;Testament: The Complete Slash Recordings;2002"
3023;"3023;0_UNK_0;Blasters;I Love You So;Testament: The Complete Slash Recordings;2002"
3024;"3024;0_UNK_0;Blasters;Stop The Clock;Testament: The Complete Slash Recordings;2002"
3025;"3025;0_UNK_0;Blasters;Red Rose;Testament: The Complete Slash Recordings;2002"
3026;"3026;0_UNK_0;Blasters;Barefoot Rock;Testament: The Complete Slash Recordings;2002"
3027;"3027;0_UNK_0;Blasters;Bus Station;Testament: The Complete Slash Recordings;2002"
3028;"3028;0_UNK_0;Blasters;One More Dance;Testament: The Complete Slash Recordings;2002"
3029;"3029;0_UNK_0;Blasters;It Must Be Love;Testament: The Complete Slash Recordings;2002"
3030;"3030;0_UNK_0;Blasters;Jubilee Train;Testament: The Complete Slash Recordings;2002"
3031;"3031;0_UNK_0;Blasters;Long White Cadillac;Testament: The Complete Slash Recordings;2002"
3032;"3032;0_UNK_0;Blasters;Fool's Paradise;Testament: The Complete Slash Recordings;2002"
3033;"3033;0_UNK_0;Blasters;Boomtown;Testament: The Complete Slash Recordings;2002"
3034;"3034;0_UNK_0;Blasters;Leaving;Testament: The Complete Slash Recordings;2002"
3035;"3035;0_UNK_0;Blasters;Tag Along;Testament: The Complete Slash Recordings;2002"
3036;"3036;0_UNK_0;Blasters;Justine;Testament: The Complete Slash Recordings;2002"
3037;"3037;0_UNK_0;Blasters;Flat Top Joint;Testament: The Complete Slash Recordings;2002"
3038;"3038;0_UNK_0;Blasters;Leave My Money Alone;Testament: The Complete Slash Recordings;2002"
3039;"3039;0_UNK_0;Blasters;One Bad Stud;Testament: The Complete Slash Recordings;2002"
3040;"3040;0_UNK_0;Blasters;Blue Shadows;Testament: The Complete Slash Recordings;2002"
3041;"3041;0_UNK_0;Blasters;Trouble Bound;Testament: The Complete Slash Recordings;2002"
3042;"3042;0_UNK_0;Blasters;Just Another Sunday;Testament: The Complete Slash Recordings;2002"
3043;"3043;0_UNK_0;Blasters;Hey. Girl;Testament: The Complete Slash Recordings;2002"
3044;"3044;0_UNK_0;Blasters;Dark Night;Testament: The Complete Slash Recordings;2002"
3045;"3045;0_UNK_0;Blasters;Little Honey;Testament: The Complete Slash Recordings;2002"
3046;"3046;0_UNK_0;Blasters;Samson And Delilah;Testament: The Complete Slash Recordings;2002"
3047;"3047;0_UNK_0;Blasters;Help You Dream;Testament: The Complete Slash Recordings;2002"
3048;"3048;0_UNK_0;Blasters;High School Confidential (live);Testament: The Complete Slash Recordings;2002"
3049;"3049;0_UNK_0;Blasters;What Will Lucy Do? (live);Testament: The Complete Slash Recordings;2002"
3050;"3050;0_UNK_0;Blasters;Crazy Baby (live);Testament: The Complete Slash Recordings;2002"
3051;"3051;0_UNK_0;Blasters;Got Love If You Want It (live);Testament: The Complete Slash Recordings;2002"
3052;"3052;0_UNK_0;Blasters;Rock Boppin' Baby (live);Testament: The Complete Slash Recordings;2002"
3053;"3053;0_UNK_0;Blasters;Walkin' With Mr. Lee (live);Testament: The Complete Slash Recordings;2002"
3054;"3054;0_UNK_0;Blasters;Keep A Knockin' (live);Testament: The Complete Slash Recordings;2002"
3055;"3055;0_UNK_0;Blasters;I Don't Want To (live);Testament: The Complete Slash Recordings;2002"
3056;"3056;0_UNK_0;Blasters;Go. Go. Go (live);Testament: The Complete Slash Recordings;2002"
3057;"3057;0_UNK_0;Blasters;Roll 'Em Pete (live);Testament: The Complete Slash Recordings;2002"
3058;"3058;0_UNK_0;Blasters;Take Out Some Insurance (live);Testament: The Complete Slash Recordings;2002"
3059;"3059;0_UNK_0;Blatz;I Dont Care About You;Banned in R.C.;1991"
3060;"3060;0_UNK_0;Blatz;Berkeley Is My Baby;Banned in R.C.;1991"
3061;"3061;0_UNK_0;Blatz;Hustler;Banned in R.C.;1991"
3062;"3062;0_UNK_0;Blatz;Fuck Shit Up;Banned in R.C.;1991"
3063;"3063;0_UNK_0;Blatz;53rd;Banned in R.C.;1991"
3064;"3064;0_UNK_0;Blatz;Lullaby;Banned in R.C.;1991"
3065;"3065;0_UNK_0;Blatz;Chuck;Banned in R.C.;1991"
3066;"3066;0_UNK_0;Blatz;Donuts;Banned in R.C.;1991"
3067;"3067;0_UNK_0;Blatz;I Dont Like You;Banned in R.C.;1991"
3068;"3068;0_UNK_0;Blatz;Five Songs;Banned in R.C.;1991"
3069;"3069;0_UNK_0;Blatz;One Song;Banned in R.C.;1991"
3070;"3070;0_UNK_0;Blatz;Hustler;The Shit Split;2009"
3071;"3071;0_UNK_0;Blatz;Fuk NY;The Shit Split;2009"
3072;"3072;0_UNK_0;Blatz;Lullabye;The Shit Split;2009"
3073;"3073;0_UNK_0;Blatz;Homemade Speed;The Shit Split;2009"
3074;"3074;0_UNK_0;Blatz;California;The Shit Split;2009"
3075;"3075;0_UNK_0;Blatz;I Don't Care About You;The Shit Split;2009"
3076;"3076;0_UNK_0;Blatz;Learning How to Smile;The Shit Split;2009"
3077;"3077;0_UNK_0;Blatz;Nausea;The Shit Split;2009"
3078;"3078;0_UNK_0;Bleachers;Rollercoaster;Strange Desire;2014"
3079;"3079;0_UNK_0;Blessid Union of Souls;I Believe;Home;1995"
3080;"3080;0_UNK_0;Blind Boy Fuller;What's That Smells Like Fish;He Got Out His Big Ten Inch CD 1;2005"
3081;"3081;0_UNK_0;Blind Guardian;Excalibur;Excalibur Single;1998"
3082;"3082;0_UNK_0;Blind Guardian;Valhalla;Follow The Blind;2001"
3083;"3083;0_UNK_0;Blind Guardian;Mr. Sandman;Forgotten Tales;1996"
3084;"3084;0_UNK_0;Blind Guardian;Surfin' USA;The Forgotten Tales;1996"
3085;"3085;0_UNK_0;Blind Guardian;Nightfall;Nightfall in Middle-Earth;2009"
3086;"3086;0_UNK_0;Blind Guardian;War Of Wrath;Nightfall In Middle-Earth (2007 Remastered);1998"
3087;"3087;0_UNK_0;Blind Guardian;Into The Storm;Nightfall In Middle-Earth (2007 Remastered);1998"
3088;"3088;0_UNK_0;Blind Guardian;Lammoth;Nightfall In Middle-Earth (2007 Remastered);1998"
3089;"3089;0_UNK_0;Blind Guardian;Nightfall;Nightfall In Middle-Earth (2007 Remastered);1998"
3090;"3090;0_UNK_0;Blind Guardian;The Minstrel;Nightfall In Middle-Earth (2007 Remastered);1998"
3091;"3091;0_UNK_0;Blind Guardian;The Curse Of Feanor;Nightfall In Middle-Earth (2007 Remastered);1998"
3092;"3092;0_UNK_0;Blind Guardian;Captured;Nightfall In Middle-Earth (2007 Remastered);1998"
3093;"3093;0_UNK_0;Blind Guardian;Blood Tears;Nightfall In Middle-Earth (2007 Remastered);1998"
3094;"3094;0_UNK_0;Blind Guardian;Mirror Mirror;Nightfall In Middle-Earth (2007 Remastered);1998"
3095;"3095;0_UNK_0;Blind Guardian;Face The Truth;Nightfall In Middle-Earth (2007 Remastered);1998"
3096;"3096;0_UNK_0;Blind Guardian;Noldor (Dead Winter Reigns);Nightfall In Middle-Earth (2007 Remastered);1998"
3097;"3097;0_UNK_0;Blind Guardian;Battle Of Sudden Flame;Nightfall In Middle-Earth (2007 Remastered);1998"
3098;"3098;0_UNK_0;Blind Guardian;Time Stans Still (At The Iron Hill);Nightfall In Middle-Earth (2007 Remastered);1998"
3099;"3099;0_UNK_0;Blind Guardian;The Dark Elf;Nightfall In Middle-Earth (2007 Remastered);1998"
3100;"3100;0_UNK_0;Blind Guardian;Thorn;Nightfall In Middle-Earth (2007 Remastered);1998"
3101;"3101;0_UNK_0;Blind Guardian;The Eldar;Nightfall In Middle-Earth (2007 Remastered);1998"
3102;"3102;0_UNK_0;Blind Guardian;Nom The Wise;Nightfall In Middle-Earth (2007 Remastered);1998"
3103;"3103;0_UNK_0;Blind Guardian;When Sorrow Sang;Nightfall In Middle-Earth (2007 Remastered);1998"
3104;"3104;0_UNK_0;Blind Guardian;Out On The Water;Nightfall In Middle-Earth (2007 Remastered);1998"
3105;"3105;0_UNK_0;Blind Guardian;The Steadfast;Nightfall In Middle-Earth (2007 Remastered);1998"
3106;"3106;0_UNK_0;Blind Guardian;A Dark Passage;Nightfall In Middle-Earth (2007 Remastered);1998"
3107;"3107;0_UNK_0;Blind Guardian;Final Chapter (Thus Ends...);Nightfall In Middle-Earth (2007 Remastered);1998"
3108;"3108;0_UNK_0;Blind Guardian;Harvest Of Sorrow;Nightfall In Middle-Earth (2007 Remastered);1998"
3109;"3109;0_UNK_0;Blind Guardian;Barbara Ann;Tokyo Tales;1993"
3110;"3110;0_UNK_0;Blind Melon;No Rain;Blind Melon;1992"
3111;"3111;0_UNK_0;Blind Melon;No Rain;The Buzzbin;1994"
3112;"3112;0_UNK_0;Blind Melon;Out on the Tiles;Economicum (A Tribute to Led Zeppelin);1995"
3113;"3113;0_UNK_0;Blind Melon;Galaxie;Soup;1995"
3114;"3114;0_UNK_0;Blink-182;Waggy;MOM: Music For Our Mother Ocean;1996"
3115;"3115;0_UNK_0;Blitz;Someone's Gonna Die;Blitz Hits;1994"
3116;"3116;0_UNK_0;Blitz;We Are The Boys;Voice of a Generation;1996"
3117;"3117;0_UNK_0;Blitz;Time Bomb;Voice of a Generation;1996"
3118;"3118;0_UNK_0;Blitz;Bleed;Voice of a Generation;1996"
3119;"3119;0_UNK_0;Blitz;I Don't Need You;Voice of a Generation;1996"
3120;"3120;0_UNK_0;Blitz;T.O.?;Voice of a Generation;1996"
3121;"3121;0_UNK_0;Blitz;Propaganda;Voice of a Generation;1996"
3122;"3122;0_UNK_0;Blitz;Criminal Damage;Voice of a Generation;1996"
3123;"3123;0_UNK_0;Blitz;Warriors;Voice of a Generation;1996"
3124;"3124;0_UNK_0;Blitz;Nation on Fire;Voice of a Generation;1996"
3125;"3125;0_UNK_0;Blitz;Your Revolution;Voice of a Generation;1996"
3126;"3126;0_UNK_0;Blitz;Scream;Voice of a Generation;1996"
3127;"3127;0_UNK_0;Blitz;Escape;Voice of a Generation;1996"
3128;"3128;0_UNK_0;Blitz;Moscow;Voice of a Generation;1996"
3129;"3129;0_UNK_0;Blitz;Closedown;Voice of a Generation;1996"
3130;"3130;0_UNK_0;Blitz;Someone's Gonna Die;Voice of a Generation;1996"
3131;"3131;0_UNK_0;Blitz;Fight to Live;Voice of a Generation;1996"
3132;"3132;0_UNK_0;Blitz;Never Surrender;Voice of a Generation;1996"
3133;"3133;0_UNK_0;Blitz;Razors In The Night;Voice of a Generation;1996"
3134;"3134;0_UNK_0;Blitz;Youth;Voice of a Generation;1996"
3135;"3135;0_UNK_0;Blitz;New Age;Voice of a Generation;1996"
3136;"3136;0_UNK_0;Blondie;Rapture;Hip Hop Family Tree Vol. 1;1981"
3137;"3137;0_UNK_0;Blondie;Rapture;Hip Hop Family Tree Vol. I;1980"
3138;"3138;0_UNK_0;Blondie;X Offender;No Thanks! The '70s Punk Rebellion (Disc 2);1976"
3139;"3139;0_UNK_0;Blondie;Hanging On The Telephone;No Thanks! The '70s Punk Rebellion (Disc 4);1978"
3140;"3140;0_UNK_0;Blondie;Blondie - X-Offender ;X;-1"
3141;"3141;0_UNK_0;Blood For Blood;No Friend Of Mine;Boston Drops the Gloves: Tribute to Slapshot;1999"
3142;"3142;0_UNK_0;Blood for Blood;Anywhere but here;Livin In Exile;1999"
3143;"3143;0_UNK_0;Blood for Blood;Still Fucked Up;Livin In Exile;1999"
3144;"3144;0_UNK_0;Blood for Blood;Ace of Spades (Motorhead cover);Livin In Exile;1999"
3145;"3145;0_UNK_0;Blood For Blood;Revenge On Society;Revenge on Society;1998"
3146;"3146;0_UNK_0;Blood For Blood;Ya Still A Paper Gangster;Revenge On Society;1998"
3147;"3147;0_UNK_0;Bloodhound Gang;A Lap Dance is So Much Better When The Stripper is Crying;Hooray for Boobies;2000"
3148;"3148;0_UNK_0;bloody sods;what the ****;Hardcore: True or False;-1"
3149;"3149;0_UNK_0;The Blowdriers;Berkeley Farms;Killed By Death #13;1993"
3150;"3150;0_UNK_0;Blue Cheer;Just A Little Bit;Outsideinside;1968"
3151;"3151;0_UNK_0;Blue Cheer;Come And Get It;Outsideinside;1968"
3152;"3152;0_UNK_0;The Blue Chips;Im On The Right Side;Doin' The Mod (vol. 2) - Jump And Dance;2002"
3153;"3153;0_UNK_0;Blue Öyster Cult;(Don't Fear) The Reaper;Agents of Fortune;1976"
3154;"3154;0_UNK_0;Blue Swede;Hooked On A Feeling;Reservoir Dogs - Original Motion Picture Soundtrack;1992"
3155;"3155;0_UNK_0;The Blues Brothers;She Caught The Katy;The Blues Brothers: Original Soundtrack Recording;1980"
3156;"3156;0_UNK_0;The Blues Brothers;Peter Gunn Theme;The Blues Brothers: Original Soundtrack Recording;1980"
3157;"3157;0_UNK_0;The Blues Brothers;Gimme Some Lovin';The Blues Brothers: Original Soundtrack Recording;1980"
3158;"3158;0_UNK_0;The Blues Brothers;Shake A Tail Feather;The Blues Brothers: Original Soundtrack Recording;1980"
3159;"3159;0_UNK_0;The Blues Brothers;Everybody Needs Somebody To Love;The Blues Brothers: Original Soundtrack Recording;1980"
3160;"3160;0_UNK_0;The Blues Brothers;The Old Landmark;The Blues Brothers: Original Soundtrack Recording;1980"
3161;"3161;0_UNK_0;The Blues Brothers;Think;The Blues Brothers: Original Soundtrack Recording;1980"
3162;"3162;0_UNK_0;The Blues Brothers;Theme From Rawhide;The Blues Brothers: Original Soundtrack Recording;1980"
3163;"3163;0_UNK_0;The Blues Brothers;Minnie The Moocher;The Blues Brothers: Original Soundtrack Recording;1980"
3164;"3164;0_UNK_0;The Blues Brothers;Sweet Home Chicago;The Blues Brothers: Original Soundtrack Recording;1980"
3165;"3165;0_UNK_0;The Blues Brothers;Jailhouse Rock;The Blues Brothers: Original Soundtrack Recording;1980"
3166;"3166;0_UNK_0;The Blues Brothers;Opening: I Can't Turn You Loose;Definitive Collection;1992"
3167;"3167;0_UNK_0;The Blues Brothers;Hey Bartender;Definitive Collection;1992"
3168;"3168;0_UNK_0;The Blues Brothers;Messin' With the Kid;Definitive Collection;1992"
3169;"3169;0_UNK_0;The Blues Brothers;(I Got Everything I Need) Almost;Definitive Collection;1992"
3170;"3170;0_UNK_0;The Blues Brothers;Rubber Biscuit;Definitive Collection;1992"
3171;"3171;0_UNK_0;The Blues Brothers;I Don't Know;Definitive Collection;1992"
3172;"3172;0_UNK_0;The Blues Brothers;Soul Man;Definitive Collection;1992"
3173;"3173;0_UNK_0;The Blues Brothers;Who's Making Love?;Definitive Collection;1992"
3174;"3174;0_UNK_0;The Blues Brothers;Do You Love Me/Mother Popcorn (You Got to Have a Mother for Me) [Medle];Definitive Collection;1992"
3175;"3175;0_UNK_0;The Blues Brothers;Guilty;Definitive Collection;1992"
3176;"3176;0_UNK_0;The Blues Brothers;Riot in Cell Block #9;Definitive Collection;1992"
3177;"3177;0_UNK_0;The Blues Brothers;From the Bottom;Definitive Collection;1992"
3178;"3178;0_UNK_0;The Blues Brothers;Going Back to Miami;Definitive Collection;1992"
3179;"3179;0_UNK_0;The Blues Brothers;Everybody Needs Somebody to Love;Definitive Collection;1992"
3180;"3180;0_UNK_0;The Blues Brothers;Expressway to Your Heart;Definitive Collection;1992"
3181;"3181;0_UNK_0;The Blues Brothers;Sweet Home Chicago;Definitive Collection;1992"
3182;"3182;0_UNK_0;The Blues Brothers;Closing: I Can't Turn You Loose;Definitive Collection;1992"
3183;"3183;0_UNK_0;The Blues Brothers;Shake YourTailfeather;Definitive Collection;1992"
3184;"3184;0_UNK_0;The Blues Brothers;Think;Definitive Collection;1992"
3185;"3185;0_UNK_0;The Blues Brothers;Gimme Some Lovin';Definitive Collection;1992"
3186;"3186;0_UNK_0;Blues Magoos;Tobacco Road;Nuggets 1: Original Artyfacts From the 1st Psychedelic Era (CD1);1966"
3187;"3187;0_UNK_0;Blues Magoos;(We Ain't Got) Nothin' Yet;Nuggets 3: Original Artyfacts From the 1st Psychedelic Era (CD3);1966"
3188;"3188;0_UNK_0;Blues Project;No Time Like The Right Time;Nuggets 1: Original Artyfacts From the 1st Psychedelic Era (CD1);1967"
3189;"3189;0_UNK_0;Blues Traveler;Run-Around;Four;1994"
3190;"3190;0_UNK_0;Blues Traveler;Hook;Four;1994"
3191;"3191;0_UNK_0;Blur;There’s No Other Way;Leisure;1991"
3192;"3192;0_UNK_0;Blur;There's No Other Way;Leisure;1991"
3193;"3193;0_UNK_0;Blur;Turn It Up;Modern Life Is Rubbish;1993"
3194;"3194;0_UNK_0;Blur;Girls And Boys;Parklife;1994"
3195;"3195;0_UNK_0;the blurters;i wanna bw a pornostar;Hardcore: True or False;-1"
3196;"3196;0_UNK_0;Bo Carter;Howling Tom Cat Blues;Banana In Your Fruit Basket;1992"
3197;"3197;0_UNK_0;Bo Carter;Don't Mash My Digger So Deep;Banana In Your Fruit Basket;1992"
3198;"3198;0_UNK_0;Bo Carter;Pin In Your Cushion;Banana In Your Fruit Basket : Red Hot Blues. 1931-1936;1931"
3199;"3199;0_UNK_0;Bo Carter;She's Your Cook But She Burns My Bread Sometimes;The Best Of Bo Carter Vol.1 1928-1940;1982"
3200;"3200;0_UNK_0;Bo Carter;Please Warm My Weiner;The Best Of Bo Carter Vol.1 1928-1940;1982"
3201;"3201;0_UNK_0;Bo Carter;Pigmeat Is What I Crave;Cotton Pickin' Blues;1996"
3202;"3202;0_UNK_0;Bo Carter;Your Biscuits Are Big Enough For Me;Greatest Hits 1930-1940;1992"
3203;"3203;0_UNK_0;Bo Carter;Ram Rod Daddy;He Got Out His Big Ten Inch CD 1;2005"
3204;"3204;0_UNK_0;Bo Carter;Don't Mash My Digger So Deep;He Got Out His Big Ten Inch CD 2;2005"
3205;"3205;0_UNK_0;Bo Carter;My Pencil Won't Write No More;Raunchy Business;1991"
3206;"3206;0_UNK_0;Bo Carter;Banana In Your Fruit Basket;Raunchy Business: Hot Nuts & Lollypops;1991"
3207;"3207;0_UNK_0;Bo Diddley;Bo Diddley;Rock N' Roll Era: 1954-1955;1988"
3208;"3208;0_UNK_0;Bob Dylan;All I Really Want To Do;Another Side of Bob Dylan;1964"
3209;"3209;0_UNK_0;Bob Dylan;Black Crow Blues;Another Side of Bob Dylan;1964"
3210;"3210;0_UNK_0;Bob Dylan;Spanish Harlem Incident;Another Side of Bob Dylan;1964"
3211;"3211;0_UNK_0;Bob Dylan;Chimes Of Freedom;Another Side of Bob Dylan;1964"
3212;"3212;0_UNK_0;Bob Dylan;I Shall Be Free;Another Side of Bob Dylan;1964"
3213;"3213;0_UNK_0;Bob Dylan;To Ramona;Another Side of Bob Dylan;1964"
3214;"3214;0_UNK_0;Bob Dylan;Motorpsycho Nitemare;Another Side of Bob Dylan;1964"
3215;"3215;0_UNK_0;Bob Dylan;My Back Pages;Another Side of Bob Dylan;1964"
3216;"3216;0_UNK_0;Bob Dylan;I Don't Believe You;Another Side of Bob Dylan;1964"
3217;"3217;0_UNK_0;Bob Dylan;Ballad In Plain D;Another Side of Bob Dylan;1964"
3218;"3218;0_UNK_0;Bob Dylan;It Ain't Me Babe;Another Side of Bob Dylan;1964"
3219;"3219;0_UNK_0;Bob Dylan;Rainy Day Women #12 & 35;Blonde On Blonde;1966"
3220;"3220;0_UNK_0;Bob Dylan;Pledging My Time;Blonde On Blonde;1966"
3221;"3221;0_UNK_0;Bob Dylan;Visions Of Johanna;Blonde On Blonde;1966"
3222;"3222;0_UNK_0;Bob Dylan;One Of Us Must Know (Sooner Or Later);Blonde On Blonde;1966"
3223;"3223;0_UNK_0;Bob Dylan;I Want You;Blonde On Blonde;1966"
3224;"3224;0_UNK_0;Bob Dylan;Stuck Inside Of Mobile With The Memphis Blues Again;Blonde On Blonde;1966"
3225;"3225;0_UNK_0;Bob Dylan;Leopard-Skin Pill-Box Hat;Blonde On Blonde;1966"
3226;"3226;0_UNK_0;Bob Dylan;Just Like A Woman;Blonde On Blonde;1966"
3227;"3227;0_UNK_0;Bob Dylan;Most Likely You Go Your Way And I'll Go Mine;Blonde On Blonde;1966"
3228;"3228;0_UNK_0;Bob Dylan;Temporary Like Achilles;Blonde On Blonde;1966"
3229;"3229;0_UNK_0;Bob Dylan;Absolutely Sweet Marie;Blonde On Blonde;1966"
3230;"3230;0_UNK_0;Bob Dylan;4th Time Around;Blonde On Blonde;1966"
3231;"3231;0_UNK_0;Bob Dylan;Obviously 5 Believers;Blonde On Blonde;1966"
3232;"3232;0_UNK_0;Bob Dylan;Sad Eyed Lady Of The Lowlands;Blonde On Blonde;1966"
3233;"3233;0_UNK_0;Bob Dylan;Tangled Up In Blue;Blood On The Tracks;1975"
3234;"3234;0_UNK_0;Bob Dylan;Simple Twist Of Fate;Blood On The Tracks;1975"
3235;"3235;0_UNK_0;Bob Dylan;You're A Big Girl Now;Blood On The Tracks;1975"
3236;"3236;0_UNK_0;Bob Dylan;Idiot Wind;Blood On The Tracks;1975"
3237;"3237;0_UNK_0;Bob Dylan;You're Gonna Make Me Lonesome When You Go;Blood On The Tracks;1975"
3238;"3238;0_UNK_0;Bob Dylan;Meet Me In The Morning;Blood On The Tracks;1975"
3239;"3239;0_UNK_0;Bob Dylan;Lily. Rosemary And The Jack Of Hearts;Blood On The Tracks;1975"
3240;"3240;0_UNK_0;Bob Dylan;If You See Her. Say Hello;Blood On The Tracks;1975"
3241;"3241;0_UNK_0;Bob Dylan;Shelter From The Storm;Blood On The Tracks;1975"
3242;"3242;0_UNK_0;Bob Dylan;Buckets Of Rain;Blood On The Tracks;1975"
3243;"3243;0_UNK_0;Bob Dylan;She's No Good;Bob Dylan;1962"
3244;"3244;0_UNK_0;Bob Dylan;Talkin' New York;Bob Dylan;1962"
3245;"3245;0_UNK_0;Bob Dylan;In My Time Of Dyin';Bob Dylan;1962"
3246;"3246;0_UNK_0;Bob Dylan;Man Of Constant Sorrow;Bob Dylan;1962"
3247;"3247;0_UNK_0;Bob Dylan;Fixin' To Die Blues;Bob Dylan;1962"
3248;"3248;0_UNK_0;Bob Dylan;Pretty Peggy-O;Bob Dylan;1962"
3249;"3249;0_UNK_0;Bob Dylan;Highway 51 Blues;Bob Dylan;1962"
3250;"3250;0_UNK_0;Bob Dylan;Gospel Plow;Bob Dylan;1962"
3251;"3251;0_UNK_0;Bob Dylan;Baby. Let Me Follow You Down;Bob Dylan;1962"
3252;"3252;0_UNK_0;Bob Dylan;House Of The Risin' Sun;Bob Dylan;1962"
3253;"3253;0_UNK_0;Bob Dylan;Freight Train Blues;Bob Dylan;1962"
3254;"3254;0_UNK_0;Bob Dylan;Song To Woody;Bob Dylan;1962"
3255;"3255;0_UNK_0;Bob Dylan;See That My Grave Is Kept Clean;Bob Dylan;1962"
3256;"3256;0_UNK_0;Bob Dylan;Hard Times In New York Town;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3257;"3257;0_UNK_0;Bob Dylan;He Was A Friend Of Mine;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3258;"3258;0_UNK_0;Bob Dylan;Man On The Street;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3259;"3259;0_UNK_0;Bob Dylan;No More Auction Block;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3260;"3260;0_UNK_0;Bob Dylan;House Carpenter;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3261;"3261;0_UNK_0;Bob Dylan;Talking Bear Mountain Picnic Massacre Blues;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3262;"3262;0_UNK_0;Bob Dylan;Let Me Die In My Footsteps;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3263;"3263;0_UNK_0;Bob Dylan;Rambling. Gambling Willie;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3264;"3264;0_UNK_0;Bob Dylan;Talkin Hava Negeilah Blues;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3265;"3265;0_UNK_0;Bob Dylan;Quit Your Low Down Ways;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3266;"3266;0_UNK_0;Bob Dylan;Worried Blues;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3267;"3267;0_UNK_0;Bob Dylan;Kingsport Town;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3268;"3268;0_UNK_0;Bob Dylan;Walkin' Down The Line;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3269;"3269;0_UNK_0;Bob Dylan;Walls Of Red Wing;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3270;"3270;0_UNK_0;Bob Dylan;Paths Of Victory;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3271;"3271;0_UNK_0;Bob Dylan;Talkin' John Birch Paranoid Blues;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3272;"3272;0_UNK_0;Bob Dylan;Who Killed Davey Moore?;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3273;"3273;0_UNK_0;Bob Dylan;Only A Hobo;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3274;"3274;0_UNK_0;Bob Dylan;Moonshiner;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3275;"3275;0_UNK_0;Bob Dylan;When The Ship Comes In;The Bootleg Series 1-3 : Rare And Unreleased;1991"
3276;"3276;0_UNK_0;Bob Dylan;The Times They Are A-Changin';The Bootleg Series 1-3 : Rare And Unreleased;1991"
3277;"3277;0_UNK_0;Bob Dylan;Knockin' On Heaven's Door;The Bootleg Series 5 -  Live 1975;2003"
3278;"3278;0_UNK_0;Bob Dylan;Subterranean Homesick Blues;Bringing It All Back Home;1965"
3279;"3279;0_UNK_0;Bob Dylan;She Belongs To Me;Bringing It All Back Home;1965"
3280;"3280;0_UNK_0;Bob Dylan;Maggie's Farm;Bringing It All Back Home;1965"
3281;"3281;0_UNK_0;Bob Dylan;Love Minus Zero.No Limit;Bringing It All Back Home;1965"
3282;"3282;0_UNK_0;Bob Dylan;Outlaw Blues;Bringing It All Back Home;1965"
3283;"3283;0_UNK_0;Bob Dylan;On The Road Again;Bringing It All Back Home;1965"
3284;"3284;0_UNK_0;Bob Dylan;Bob Dylan's 115th Dream;Bringing It All Back Home;1965"
3285;"3285;0_UNK_0;Bob Dylan;Mr. Tambourine Man;Bringing It All Back Home;1965"
3286;"3286;0_UNK_0;Bob Dylan;Gates Of Eden;Bringing It All Back Home;1965"
3287;"3287;0_UNK_0;Bob Dylan;It's Alright. Ma (I'm Only Bleeding);Bringing It All Back Home;1965"
3288;"3288;0_UNK_0;Bob Dylan;It's All Over Now. Baby Blue;Bringing It All Back Home;1965"
3289;"3289;0_UNK_0;Bob Dylan;Blowin' In The Wind;The Freewheelin' Bob Dylan;1963"
3290;"3290;0_UNK_0;Bob Dylan;Girl From The North Country;The Freewheelin' Bob Dylan;1963"
3291;"3291;0_UNK_0;Bob Dylan;Masters Of War;The Freewheelin' Bob Dylan;1963"
3292;"3292;0_UNK_0;Bob Dylan;Down The Highway;The Freewheelin' Bob Dylan;1963"
3293;"3293;0_UNK_0;Bob Dylan;Bob Dylan's Blues;The Freewheelin' Bob Dylan;1963"
3294;"3294;0_UNK_0;Bob Dylan;A Hard Rain's A-Gonna Fall;The Freewheelin' Bob Dylan;1963"
3295;"3295;0_UNK_0;Bob Dylan;Don't Think Twice. It's All Right;The Freewheelin' Bob Dylan;1963"
3296;"3296;0_UNK_0;Bob Dylan;Bob Dylan's Dream;The Freewheelin' Bob Dylan;1963"
